Date,Prison name,Country,Succeeded,Escapee(s),Details
"August 19, 1971",Santa Martha Acatitla,Mexico,Yes,"Joel David Kaplan
Carlos Antonio Contreras Castro","Joel David Kaplan was a New York businessman who had been arrested for murder in 1962 in Mexico City and was incarcerated at the Santa Martha Acatitla prison in the Iztapalapa borough of Mexico City.  Joel's sister, Judy Kaplan, arranged the means to help Kaplan escape, and on August 19, 1971, a helicopter landed in the prison yard. The guards mistakenly thought this was an official visit. In two minutes, Kaplan and his cellmate Carlos Antonio Contreras, a Venezuelan counterfeiter, were able to board the craft and were piloted away, before any shots were fired. Both men were flown to Texas and then different planes flew Kaplan to California and Contreras to Guatemala.  The Mexican government never initiated extradition proceedings against Kaplan. The escape is told in a book, The 10-Second Jailbreak: The Helicopter Escape of Joel David Kaplan. It also inspired the 1975 action movie Breakout, which starred Charles Bronson and Robert Duvall."
"October 31, 1973",Mountjoy Jail,Ireland,Yes,"JB O'Hagan

Seamus Twomey
Kevin Mallon","On October 31, 1973, an IRA member hijacked a helicopter and forced the pilot to land in the exercise yard of Dublin's Mountjoy Jail's D Wing at 3:40 p.m., October 31, 1973. Three members of the IRA were able to escape: JB O'Hagan, Seamus Twomey and Kevin Mallon. Another prisoner who also was in the prison was quoted as saying, ""One shamefaced screw apologised to the governor and said he thought it was the new Minister for Defence (Paddy Donegan) arriving. I told him it was our Minister of Defence leaving.""
The Mountjoy helicopter escape became Republican lore and was immortalized by ""The Helicopter Song"", which contains the lines ""It's up like a bird and over the city. There's three men a'missing I heard the warder say""."
"May 24, 1978","United States Penitentiary, Marion",United States,No,"Garrett Brock Trapnell
Martin Joseph McNally
James Kenneth Johnson","43-year-old Barbara Ann Oswald hijacked a Saint Louis-based charter helicopter and forced the pilot to land in the yard at USP Marion. While landing the aircraft, the pilot, Allen Barklage, who was a Vietnam War veteran, struggled with Oswald and managed to wrestle the gun away from her. Barklage then shot and killed Oswald, thwarting the escape. A few months later Oswald's daughter hijacked TWA Flight 541 in an effort to free Trapnell."
"February 27, 1981","Fleury-Mérogis, Essonne, Ile de France",France,Yes,"Gérard Dupré
Daniel Beaumont","With the help of Serge Coutel, Gérard Dupré and Daniel Beaumont, succeed in the first and double helicopter escape of a French prison, in Fleury-Mérogis (Essonne), the best kept prison of France. The men hijacked a helicopter and its pilot that they rented to fly from Paris to Orléans. The pilot, Claude Fourcade, was taken hostage and was told that they were holding his wife and daughter hostage (which was not true) ... The flight turned into Paris - Fleury -Merogis - Porte d'Orléans."
"May 7, 1981","Orsainville Prison, Quebec City",Canada,No,"Marina Paquet (hijacker)
Giles Arseneault (prisoner)","Marina Paquet held a sawed off shotgun against the back of the head of a helicopter pilot. She demanded that he land in the Orsainville prison courtyard, where her boyfriend (awaiting extradition to California on a murder charge) was set to escape. The pilot, Brian Jenner, feigned a panic attack, put the helicopter through some rough maneuvers and was then able to convince Paquet, in the back seat of the Jet Ranger, to turn over her shotgun and her knife. Jenner then gave her the choice of any landing spot, except the prison. She chose to go back to the airport.
The pilot then explained, in great detail, exactly where they were and where they would be landing on arrival at the Quebec City airport. He added that the police would surely be aware by then, that she had hijacked the helicopter but would not yet be aware that she had given up her arms to the pilot. All the time Jenner was squeezing the transmit button on his cyclic stick and the tower was picking up all the details. The moment they touched down at the airport, the woman left the helicopter but the police, who had been advised of the situation by the control tower, were hiding nearby, and captured Paquet within seconds."
"January, 1983",Pentridge (HM Prison),Australia,No,David McMillan,"Arrests were made for the 1983 attempted helicopter escape from Melbourne's Pentridge Prison in Australia. The three, all held on drug-importation charges, had hired a former SAS soldier, then living in the Philippines, to lift the prisoners from the jail's tennis court to a nearby van fitted with panels to hide them for the 600 kilometre road trip to Sydney, where a yacht was to take them to Manila.
The plan was thwarted when Lord Tony Moynihan, himself an exile in the Philippines, informed the Australian Federal Police, who then ran it as a sting operation. Tony Moynihan would later become an informer against Howard Marks in a Florida trial.
Of the accused, only David McMillan and his accountant friend who had visited the prison stood trial. During the hearings, few prosecution witnesses used their real names as they were mostly from Moynihan's former West African MI6 unit. Those on trial were convicted and sentenced."
"December 19, 1985","Perry Correctional Institution, Pelzer, South Carolina",United States,Yes,"James Rodney Leonard
William Douglas Ballew
Jesse Glenn Smith","One murderer, James Rodney Leonard, and two armed robbers, William Douglas Ballew and Jesse Glenn Smith, fled in a helicopter with a pilot and a woman hijacker with a pistol to a getaway car 4 to 5 miles away. The 3-passenger helicopter was so overloaded with 5 occupants that it barely cleared the fence, while flying away in a hail of gunfire that injured one guard. Two other men attempted to escape as well, but either jumped or were pushed off when the pilot told the escapees that the helicopter could not take off. The three escapees were captured on December 23 in Camden County, Georgia."
"December 31, 1985","Cândido Mendes penitentiary, Ilha Grande, Rio de Janeiro",Brazil,Yes,"José Carlos dos Reis Encina, a.k.a. ""Escadinha""","Drug lord Encina was rescued by José Carlos Gregório, aka ""Gordo"", who rented the Bell 47 aircraft under the guise of surveying some lands he intended to buy. ""Gordo"" forced the pilot to land and pick up Encina, who had escaped the prison proper earlier. Encina was recaptured three months later after being shot in a firefight."
"May 26, 1986",Prison de la Santé,France,Yes,Michel Vaujour,"Vaujour had 28 years to serve for attempted murder and armed robbery; this was his fourth escape attempt. He made his way to the roof by threatening guards with a fake pistol and nectarines painted as grenades. On top of the jail he was picked up by his wife Nadine, who had taken helicopter pilot lessons especially for the escape. They landed at a nearby football pitch and fled in a waiting car. Paris-Match published amateur photos of the escape, which was made into a film starring Béatrice Dalle in 1991."
"November 5, 1986","Federal Correctional Institution, Dublin",United States,Yes,Samantha Lopez,"Ronald J. McIntosh walked away from a minimum security prison on October 28 and then hijacked a helicopter on November 5. He used the helicopter to free Samantha Lopez from the Federal Correctional Institution at Dublin, east of San Francisco. Both were later caught on November 15 when they arrived to pick up wedding rings from a California shopping mall. The authorities were monitoring the account McIntosh used to write the check and the police were waiting for them.
Ron McIntosh for his role in the escape was sentenced to 25 years in prison. Samantha Lopez was given five years added to her 50-year sentence for a 1981 bank robbery in Georgia. As they were driven away to their separate prisons McIntosh was able to lean out of a car window and yell, ""I love you!"" to Lopez. Samantha Lopez was released from prison on 20 April 2010."
